Name,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,POS
ISAIAH REESE,87,52,28.1,4.4,10.1,.432,2.8,5.2,.532,1.6,4.9,.326,1.5,1.9,.793,0.7,4.3,5.0,3.9,1.7,0.2,2.3,2.2,11.9,-4.38,Guard
NAZ REID,34,32,27.2,5.0,10.7,.468,4.2,8.3,.509,0.8,2.5,.333,2.7,3.8,.727,2.5,4.7,7.2,0.9,0.7,0.7,2.5,3.2,13.6,9.15,Forward
ISAIAH ROBY,97,52,23.9,2.9,6.1,.476,2.4,4.6,.523,0.5,1.5,.336,1.8,2.6,.702,1.6,3.9,5.5,1.5,0.8,1.6,1.6,2.8,8.1,9.79,Forward
SAMIR SEHIC,62,31,23.9,4.0,8.0,.499,3.2,5.5,.586,0.8,2.6,.317,2.5,3.5,.712,2.3,4.2,6.5,0.8,0.5,0.5,1.3,2.3,11.4,,Forward
SIMI SHITTU,32,31,26.7,4.1,8.8,.468,4.1,8.2,.496,0.0,0.6,.056,2.7,4.7,.576,1.6,5.1,6.7,1.8,0.7,0.5,2.9,2.3,10.9,7.79,Forward
D’MARCUS SIMONDS,98,91,32.9,6.5,14.3,.457,5.4,10.3,.520,1.2,4.0,.294,3.7,5.3,.690,1.1,3.9,5.0,3.4,1.4,0.7,3.4,2.4,17.9,-1.43,Guard
RAYJON TUCKER,30,30,36.6,6.2,12.7,.491,3.8,6.9,.558,2.4,5.8,.411,5.5,7.0,.777,0.8,6.0,6.7,1.8,1.1,0.4,2.6,2.3,20.3,,Guard
NICK WARD,104,80,19.8,4.9,8.0,.605,4.8,8.0,.603,0.0,0.0,1.000,3.3,5.3,.629,2.4,4.2,6.6,0.5,0.3,1.4,1.8,2.5,13.1,9.98,Forward
PJ WASHINGTON,72,63,28.3,4.5,8.7,.521,4.0,7.3,.547,0.5,1.4,.384,3.4,5.4,.632,2.1,4.5,6.6,1.7,0.8,1.0,1.9,2.6,12.9,10.51,Forward
TREMONT WATERS,66,61,32.7,5.2,12.2,.423,3.2,6.5,.496,1.9,5.7,.340,3.3,4.2,.807,0.3,2.8,3.1,5.9,2.5,0.1,3.2,2.1,15.6,8.59,Guard
COBY WHITE,35,35,28.5,5.4,12.7,.423,3.0,6.1,.500,2.3,6.6,.353,3.0,3.7,.800,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,11.35,Guard
LINDELL WIGGINTON,56,33,29.8,4.8,11.6,.414,2.8,6.4,.429,2.1,5.2,.397,3.6,5.3,.687,0.7,3.2,3.9,2.5,0.8,0.4,2.5,2.3,15.3,9.39,Guard
KRIS WILKES,66,65,30.8,5.5,12.6,.436,3.6,7.1,.509,1.9,5.5,.343,2.6,3.9,.664,1.2,3.6,4.8,1.7,0.7,0.5,1.6,2.3,15.5,6.82,Guard
GRANT WILLIAMS,104,101,28.9,5.3,10.2,.516,5.0,9.2,.540,0.3,1.0,.291,4.8,6.4,.758,2.5,4.0,6.5,2.1,0.9,1.5,2.1,3.2,15.7,10.15,Forward
ZION WILLIAMSON,33,33,30.0,9.0,13.2,.680,8.2,11.0,.747,0.7,2.2,.338,3.9,6.2,.640,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,11.97,Forward
KENNY WOOTEN,70,38,21.8,2.6,4.1,.634,2.6,4.1,.639,0.0,0.0,.000,1.2,1.8,.633,1.4,3.3,4.7,0.5,0.5,2.4,1.1,2.6,6.4,5.49,Forward
UDOKA AZUBUIKE,56,49,21.0,5.1,6.9,.744,5.1,6.9,.744,0.0,0.0,,1.2,3.0,.394,2.1,4.3,6.4,0.6,0.5,1.6,1.7,2.9,11.5,12.30,Center
AYO DOSUNMU,32,32,31.3,5.1,11.7,.435,3.5,7.3,.485,1.6,4.4,.352,2.1,3.0,.695,0.7,3.3,4.0,3.3,1.3,0.3,2.3,2.0,13.8,11.53,Guard
ASHTON HAGANS,37,30,28.5,2.7,5.8,.467,2.3,4.4,.528,0.4,1.4,.275,1.9,2.5,.761,0.6,2.0,2.6,4.3,1.6,0.1,2.5,2.0,7.7,10.29,Guard
MARKUS HOWARD,99,92,29.2,6.3,14.0,.453,3.2,6.7,.475,3.2,7.3,.433,3.9,4.3,.902,0.4,2.8,3.2,3.0,1.0,0.1,2.8,2.4,19.7,8.42,Guard
TRE JONES,36,36,34.2,3.7,8.9,.414,2.9,6.0,.486,0.8,2.9,.262,1.3,1.7,.758,0.9,2.9,3.8,5.3,1.9,0.2,1.5,1.6,9.4,11.97,Guard
JALEN SMITH,33,33,26.7,4.4,8.9,.492,3.8,6.8,.563,0.6,2.2,.268,2.3,3.5,.658,2.7,4.1,6.8,0.9,0.4,1.2,1.2,2.0,11.7,10.09,Forward
CASSIUS WINSTON,109,78,27.7,4.2,9.1,.467,2.5,5.1,.496,1.7,4.0,.430,2.7,3.3,.842,0.2,2.5,2.7,6.6,0.8,0.1,2.6,2.0,12.9,9.98,Guard
