Name,MP,2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ALLSTAR_Yes,POS_Forward,POS_Guard
Sean Singletary,32.8,7.9,0.433,5.0,0.362,5.5,0.846,4.0,4.8,1.6,0.1,3.3,2.7,16.9,0,0,1
Dan Gadzuric,24.1,8.2,0.5489999999999999,0.0,0.0,3.5,0.449,6.6,0.6,0.7,1.5,1.8,2.8,10.5,0,0,0
Xavier Henry,27.5,5.3,0.4920000000000001,4.6,0.418,3.2,0.7829999999999999,4.4,1.5,1.5,0.5,1.9,1.8,13.4,0,0,1
Andre Roberson,28.3,5.7,0.555,1.4,0.35,3.2,0.5820000000000001,10.0,1.1,1.6,1.4,1.7,2.6,9.6,0,0,1
Jarrett Allen,32.2,9.4,0.579,0.2,0.0,4.5,0.564,8.4,0.8,0.6,1.5,2.5,2.1,13.4,0,0,0
Denzel Valentine,29.0,4.6,0.476,4.5,0.408,2.0,0.779,5.9,4.4,0.9,0.3,2.2,2.1,11.4,0,0,1
Draymond Green,25.0,6.3,0.496,1.7,0.361,3.4,0.687,7.6,2.9,1.2,0.8,1.9,2.7,10.5,1,1,0
Jamal Murray,35.2,7.3,0.502,7.7,0.408,4.2,0.7829999999999999,5.2,2.2,1.0,0.3,2.3,2.1,20.0,0,0,1
Edmond Sumner,26.6,6.0,0.483,2.2,0.285,5.1,0.73,3.5,3.8,1.2,0.4,2.2,2.3,11.4,0,0,1
Eddie Griffin,32.6,11.7,0.469,4.3,0.32,3.6,0.7340000000000001,10.8,1.6,0.9,4.4,2.2,2.4,17.8,0,1,0
Malik Monk,32.1,7.8,0.4970000000000001,6.9,0.397,4.7,0.8220000000000001,2.5,2.3,0.9,0.5,2.0,1.9,19.8,0,0,1
Will Blalock,34.3,7.1,0.445,2.9,0.365,2.9,0.7190000000000001,3.1,5.0,1.9,0.1,2.5,1.6,11.6,0,0,1
Markieff Morris,19.3,4.8,0.579,0.9,0.404,2.9,0.653,6.1,1.2,0.6,0.9,1.6,2.7,8.5,0,1,0
Aaron Gordon,31.2,8.9,0.513,1.2,0.35600000000000004,4.7,0.422,8.0,2.0,0.9,1.0,1.4,2.4,12.4,0,1,0
Alando Tucker,32.1,10.0,0.522,2.5,0.307,6.1,0.636,5.7,1.6,0.8,0.2,1.7,1.6,16.5,0,1,0
Davon Reed,28.1,3.9,0.466,3.9,0.395,2.6,0.779,3.6,1.6,0.9,0.4,1.4,1.9,10.3,0,0,1
Craig Brackins,31.8,10.9,0.48,2.5,0.292,4.7,0.726,7.7,1.6,0.5,1.0,2.0,2.0,16.0,0,1,0
Bobby Portis,28.5,10.3,0.54,0.9,0.365,3.9,0.737,7.9,1.3,1.1,1.5,1.4,2.0,15.0,0,1,0
Peyton Siva,26.2,4.5,0.482,2.4,0.29100000000000004,2.8,0.737,2.4,4.7,1.8,0.1,2.7,2.6,8.4,0,0,1
Eric Maynor,30.7,8.3,0.477,3.0,0.37,4.9,0.7909999999999999,3.4,5.2,1.3,0.2,2.4,2.0,15.0,0,0,1
Kelly Oubre,21.0,4.3,0.4970000000000001,2.6,0.358,3.1,0.718,5.0,0.8,1.1,0.4,1.2,2.0,9.3,0,1,0
Frank Williams,31.7,7.6,0.433,4.1,0.326,4.6,0.807,4.0,4.3,2.1,0.3,2.7,1.8,14.3,0,0,1
Andre Emmett,32.3,12.4,0.52,1.4,0.312,4.9,0.703,6.0,1.6,1.3,0.3,1.9,1.3,17.6,0,1,0
Bernard Robinson,30.6,8.5,0.472,1.9,0.297,3.4,0.8140000000000001,5.3,3.0,1.4,0.4,2.9,2.5,12.5,0,0,1
David West,33.4,10.4,0.54,0.4,0.327,6.9,0.757,10.4,2.1,1.4,1.8,2.5,2.8,16.9,1,1,0
Courtney Lee,31.2,8.8,0.498,4.8,0.401,3.7,0.8170000000000001,5.2,2.2,1.9,0.6,2.5,2.5,17.6,0,0,1
Aaron Brooks,32.7,5.4,0.479,4.8,0.374,3.2,0.8340000000000001,3.5,4.1,1.1,0.1,2.6,2.3,13.1,0,0,1
Nolan Smith,26.9,7.3,0.482,3.2,0.368,3.6,0.8,2.8,2.8,1.0,0.1,2.0,1.9,13.4,0,0,1
Luther Head,25.4,3.2,0.594,4.3,0.382,1.9,0.752,3.1,2.5,1.2,0.2,1.5,1.5,10.1,0,0,1
D.J. Wilson,19.4,3.3,0.619,2.0,0.363,1.0,0.8170000000000001,3.3,0.8,0.4,1.0,0.8,1.4,7.1,0,1,0
Justin Anderson,24.1,4.1,0.481,2.8,0.35700000000000004,2.7,0.752,3.5,1.8,0.6,0.9,1.3,1.4,8.9,0,0,1
Trey Lyles,23.0,5.9,0.536,0.8,0.138,2.8,0.735,5.2,1.1,0.5,0.4,1.1,1.6,8.7,0,1,0
Chase Budinger,35.4,7.8,0.524,5.0,0.383,4.0,0.782,5.8,2.8,1.3,0.4,2.1,1.8,17.0,0,1,0
MarShon Brooks,25.3,7.0,0.5429999999999999,4.2,0.333,3.6,0.7390000000000001,4.3,1.5,1.1,0.7,1.8,2.0,14.4,0,0,1
Jacob Evans,29.1,5.0,0.476,4.4,0.377,2.7,0.755,4.3,2.5,1.1,0.9,1.3,2.0,11.7,0,0,1
Salim Stoudamire,29.8,4.3,0.488,5.8,0.458,3.5,0.87,2.2,2.0,0.8,0.1,2.0,2.2,15.2,0,0,1
Dwyane Wade,30.7,13.3,0.512,1.5,0.333,6.2,0.745,6.5,3.9,2.3,1.2,3.1,2.4,19.7,1,0,1
Trenton Hassell,36.2,10.4,0.523,4.2,0.345,5.3,0.779,8.2,4.5,1.1,0.7,3.4,1.5,19.4,0,0,1
T.J. Leaf,29.9,9.2,0.644,1.7,0.466,3.0,0.679,8.2,2.4,0.6,1.1,1.5,2.5,16.3,0,1,0
Daniel Gibson,33.0,3.9,0.451,6.6,0.387,3.4,0.741,3.6,3.5,1.5,0.3,2.4,2.5,13.8,0,0,1
Donte Greene,35.8,7.4,0.4920000000000001,7.5,0.345,3.8,0.7070000000000001,7.2,2.0,1.3,1.6,2.6,2.9,17.7,0,1,0
Marcus Banks,34.3,9.1,0.551,3.1,0.33,6.8,0.731,3.3,4.3,2.5,0.2,3.6,2.9,18.1,0,0,1
Perry Jones,32.2,9.8,0.539,0.7,0.279,3.8,0.6779999999999999,7.4,1.2,0.7,0.7,2.0,2.3,13.7,0,1,0
Malcolm Brogdon,30.6,6.6,0.466,3.7,0.365,3.5,0.8759999999999999,4.1,2.5,0.9,0.2,1.5,1.8,13.3,0,0,1
D.J. White,30.6,9.8,0.563,0.0,0.333,5.1,0.69,7.6,0.9,0.7,2.0,1.7,2.6,14.6,0,1,0
Stephen Curry,32.6,8.3,0.53,9.7,0.412,5.3,0.8759999999999999,4.5,3.7,2.1,0.3,3.0,2.4,25.3,1,0,1
Jeremy Evans,23.5,4.7,0.654,0.2,0.364,2.2,0.684,5.9,0.5,0.6,1.7,1.0,2.4,7.9,0,1,0
Ty Lawson,27.0,5.9,0.568,2.6,0.403,4.1,0.78,2.9,5.8,1.8,0.1,2.1,2.0,13.1,0,0,1
Sean Lampley,32.1,10.2,0.512,0.7,0.21,5.3,0.6709999999999999,7.2,2.4,0.7,0.6,3.1,2.0,14.4,0,1,0
Gilbert Arenas,30.5,7.9,0.523,4.2,0.361,4.0,0.738,3.8,2.2,1.9,0.2,2.7,2.4,15.8,1,0,1
Troy Bell,35.7,8.1,0.467,6.6,0.3720000000000001,7.6,0.868,4.0,3.5,2.2,0.3,2.9,2.3,21.6,0,0,1
Shane Battier,31.4,4.9,0.57,4.1,0.416,3.8,0.777,6.1,1.6,1.8,1.7,1.2,1.6,13.6,0,1,0
Brandon Armstrong,30.4,9.5,0.467,5.6,0.391,3.2,0.8240000000000001,3.2,1.5,1.7,0.2,1.9,2.6,18.1,0,0,1
O.J. Mayo,36.8,9.7,0.464,6.5,0.409,4.6,0.8029999999999999,4.5,3.3,1.5,0.4,3.5,2.4,20.7,0,0,1
Ryan Hollins,20.2,3.5,0.574,0.0,1.0,2.9,0.591,4.0,0.4,0.2,0.9,1.4,2.4,5.7,0,0,0
DeMar DeRozan,33.4,9.5,0.562,1.0,0.16699999999999998,4.2,0.6459999999999999,5.7,1.5,0.9,0.4,2.1,2.1,13.9,1,0,1
Adreian Payne,20.0,5.1,0.551,1.1,0.409,2.7,0.755,5.3,0.6,0.6,1.0,1.4,2.2,8.9,0,1,0
Andrew Goudelock,32.8,8.1,0.494,6.8,0.413,2.2,0.838,3.3,3.0,0.9,0.3,2.2,1.5,18.4,0,0,1
Jason Collins,22.1,5.5,0.623,0.4,0.444,4.8,0.716,6.6,0.8,0.5,1.2,1.5,2.2,10.8,0,0,0
Spencer Dinwiddie,30.1,4.6,0.446,3.5,0.386,5.9,0.83,3.3,2.6,1.1,0.3,1.8,2.1,13.0,0,0,1
Randy Foye,31.3,8.1,0.441,4.9,0.329,3.8,0.7809999999999999,4.8,3.2,1.5,0.4,2.9,2.7,15.0,0,0,1
Georges Niang,29.8,8.7,0.5529999999999999,3.6,0.375,3.2,0.763,5.2,3.1,0.7,0.5,2.3,3.1,16.1,0,1,0
Avery Bradley,29.5,7.5,0.457,3.3,0.375,1.9,0.545,2.9,2.1,1.3,0.5,1.5,2.4,11.6,0,0,1
Shelden Williams,28.1,8.6,0.574,0.1,0.333,5.7,0.6940000000000001,9.1,0.9,1.2,3.0,2.3,3.1,13.9,0,1,0
Tony Allen,31.4,9.3,0.508,2.2,0.34700000000000003,5.2,0.682,5.5,2.9,2.0,0.8,2.8,2.9,15.3,0,0,1
Joe Alexander,25.3,7.9,0.488,2.1,0.295,3.3,0.765,4.8,2.0,0.6,1.2,1.8,2.2,12.1,0,1,0
Julian Wright,24.1,7.7,0.565,0.2,0.188,2.5,0.591,6.3,2.0,1.2,1.3,2.2,2.1,10.4,0,1,0
Jonny Flynn,36.5,8.1,0.525,4.2,0.333,5.1,0.782,2.7,6.0,1.5,0.2,3.1,1.5,16.6,0,0,1
Brandon Knight,35.9,7.4,0.461,6.1,0.377,4.5,0.795,4.0,4.2,0.7,0.2,3.2,2.2,17.3,0,0,1
Rondae Hollis-Jefferson,27.0,6.4,0.52,0.5,0.205,4.7,0.6970000000000001,6.3,1.5,0.9,0.9,1.4,2.4,10.2,0,1,0
Jason Kapono,34.0,6.1,0.489,5.6,0.446,3.6,0.83,5.1,2.1,0.9,0.1,2.3,2.3,16.5,0,1,0
Kenny Satterfield,31.5,6.8,0.4370000000000001,3.0,0.32299999999999995,3.9,0.78,4.1,5.2,1.4,0.1,3.3,2.4,11.9,0,0,1
Andrew Nicholson,29.9,10.8,0.586,0.6,0.377,5.1,0.72,7.2,0.7,0.5,2.0,2.4,3.0,17.1,0,1,0
Marcus Smart,33.1,7.3,0.488,4.6,0.295,7.3,0.7509999999999999,5.9,4.5,2.9,0.6,3.0,2.9,16.6,0,0,1
Jevon Carter,29.9,5.3,0.453,4.7,0.355,3.0,0.7979999999999999,3.7,3.9,2.3,0.2,1.8,2.5,12.2,0,0,1
Shawne Williams,27.8,6.1,0.489,4.3,0.312,4.0,0.7859999999999999,6.2,1.9,1.4,1.4,2.3,2.9,13.2,0,1,0
Kadeem Allen,27.5,4.8,0.482,1.8,0.4,3.1,0.725,3.6,3.3,1.3,0.7,2.0,2.4,9.1,0,0,1
Dijon Thompson,27.8,6.8,0.51,3.1,0.362,2.7,0.7809999999999999,4.7,2.0,1.1,0.3,2.4,1.8,12.5,0,0,1
Fred Jones,28.2,5.7,0.568,3.5,0.338,3.9,0.805,5.0,2.9,1.2,0.6,2.4,2.5,13.2,0,0,1
Sterling Brown,4.9,0.9,0.483,0.5,0.353,0.5,0.5329999999999999,0.8,0.4,0.1,0.0,0.3,0.7,1.7,0,0,1
Jon Brockman,28.7,10.3,0.534,0.0,0.0,4.6,0.612,9.8,1.0,0.8,0.1,2.1,2.8,13.8,0,1,0
Jared Sullinger,31.0,10.8,0.541,0.7,0.365,6.7,0.733,9.7,1.2,1.1,0.8,1.8,2.7,17.3,0,1,0
Kirk Hinrich,29.7,5.0,0.542,3.9,0.43,2.6,0.7759999999999999,3.8,4.7,1.5,0.4,2.7,2.7,12.4,0,0,1
Daniel Hamilton,31.6,7.1,0.409,3.9,0.337,2.6,0.772,8.3,4.2,1.0,0.4,2.3,2.1,11.7,0,0,1
Derrick Rose,29.2,8.3,0.521,2.6,0.337,5.1,0.7120000000000001,4.5,4.7,1.2,0.4,2.7,1.7,14.9,1,0,1
Luke Kennard,31.2,6.1,0.526,5.1,0.383,3.9,0.867,4.3,2.0,0.9,0.3,1.2,2.1,15.7,0,0,1
Patrick McCaw,31.7,4.3,0.527,5.2,0.3670000000000001,2.5,0.753,4.2,3.3,2.0,0.4,1.9,1.9,12.2,0,0,1
Devin Ebanks,32.1,7.6,0.51,1.0,0.114,4.2,0.736,7.9,2.6,0.9,0.7,2.1,1.7,11.2,0,1,0
Caleb Swanigan,29.2,7.9,0.537,2.3,0.376,4.4,0.76,10.4,2.4,0.4,0.5,3.0,2.5,14.4,0,1,0
Jordan Bell,24.7,5.2,0.622,0.2,0.188,1.8,0.63,6.8,1.5,1.1,2.2,1.5,2.3,7.8,0,1,0
Iman Shumpert,31.3,6.7,0.45,4.0,0.305,4.1,0.738,4.5,4.2,2.3,0.2,3.0,2.7,12.7,0,0,1
Daniel Orton,13.2,2.3,0.539,0.1,0.0,1.7,0.524,3.3,0.4,0.6,1.4,1.0,2.3,3.4,0,0,0
Sviatoslav Mykhailiuk,22.6,3.0,0.455,4.3,0.409,1.0,0.746,2.5,1.5,0.7,0.2,1.1,1.7,8.7,0,0,1
Andre Iguodala,25.4,5.9,0.473,1.9,0.274,3.3,0.738,6.6,3.4,1.5,0.5,2.1,2.2,9.6,1,0,1
Kenneth Faried,29.1,10.0,0.5720000000000001,0.1,0.25,5.6,0.583,12.3,0.9,1.7,1.8,2.2,3.1,14.8,0,1,0
Luke Walton,27.2,5.9,0.47,1.8,0.284,3.1,0.685,5.1,4.5,1.2,0.4,2.6,1.8,9.1,0,1,0
T.J. Ford,33.0,9.0,0.436,1.5,0.228,5.0,0.8009999999999999,3.8,8.0,2.1,0.1,3.6,2.6,12.9,0,0,1
Cody Zeller,29.0,9.3,0.594,0.0,0.0,6.6,0.7559999999999999,7.3,1.3,1.2,1.2,2.0,2.5,16.1,0,0,0
Adam Morrison,30.6,10.3,0.551,3.7,0.368,5.5,0.7609999999999999,5.1,2.0,0.7,0.4,1.7,1.7,19.7,0,1,0
Darius Johnson-Odom,30.8,6.7,0.476,5.2,0.403,4.1,0.722,3.1,2.5,0.9,0.2,2.1,2.3,15.7,0,0,1
Robin Lopez,24.3,6.9,0.511,0.0,0.5,3.1,0.612,5.6,0.8,0.3,2.3,1.6,2.5,9.0,0,0,0
Brook Lopez,28.0,12.3,0.491,0.4,0.14300000000000002,4.9,0.764,7.1,1.1,0.5,1.9,2.1,2.6,16.0,1,0,0
Luke Harangody,29.2,14.3,0.486,1.0,0.326,5.6,0.782,9.5,1.6,0.8,0.7,1.8,2.4,19.2,0,1,0
Jerami Grant,21.9,5.1,0.496,0.3,0.3,3.5,0.6409999999999999,4.7,0.9,0.6,0.5,0.9,1.8,7.5,0,1,0
Gary Harris,31.0,5.7,0.503,5.6,0.376,3.5,0.7879999999999999,3.3,2.0,1.6,0.3,1.6,2.0,14.9,0,0,1
Nick Johnson,30.9,6.0,0.459,3.7,0.359,3.9,0.7340000000000001,3.7,2.8,1.3,0.6,1.8,2.0,12.3,0,0,1
Jordan Mickey,33.8,10.6,0.527,0.2,0.071,4.3,0.669,8.8,1.2,0.8,3.4,2.8,2.4,14.0,0,1,0
Deron Williams,31.7,5.1,0.464,4.3,0.374,2.1,0.685,3.3,5.9,1.1,0.2,2.4,2.2,11.0,1,0,1
Darren Collison,29.2,5.7,0.494,2.7,0.435,2.9,0.851,2.3,4.1,1.6,0.1,2.4,1.4,11.5,0,0,1
Zach Collins,17.3,4.8,0.672,0.5,0.476,3.8,0.743,5.9,0.4,0.5,1.8,1.5,2.7,10.0,0,0,0
Evan Turner,32.8,9.1,0.525,1.5,0.362,5.0,0.758,6.8,4.1,1.6,0.7,3.5,2.7,15.0,0,0,1
Nikola Vucevic,27.7,6.9,0.551,1.4,0.303,2.9,0.746,8.0,1.1,0.5,1.1,1.5,2.4,11.1,1,0,0
Kevin Durant,35.9,12.7,0.505,5.8,0.404,7.3,0.816,11.1,1.3,1.9,1.9,2.8,2.0,25.8,1,1,0
Brandon Ingram,34.6,8.0,0.464,5.4,0.41,4.7,0.682,6.8,2.0,1.1,1.4,2.0,2.1,17.3,0,1,0
Mike Scott,22.9,3.6,0.429,1.4,0.28600000000000003,2.8,0.677,3.5,2.0,1.3,0.1,1.6,2.9,6.2,0,1,0
Jordan Hamilton,14.8,1.6,0.547,1.9,0.324,1.0,0.753,1.4,0.5,0.3,0.3,0.7,1.7,4.3,0,0,1
Kyle Singler,33.0,7.7,0.479,5.0,0.363,4.3,0.773,6.9,2.0,1.1,0.7,2.1,2.6,16.2,0,1,0
Matt Barnes,22.6,5.5,0.514,1.6,0.314,2.9,0.5660000000000001,4.8,2.0,1.0,0.4,2.0,2.2,8.8,0,1,0
J.J. Redick,34.0,5.6,0.472,8.1,0.406,5.2,0.912,2.7,2.2,1.1,0.1,2.1,1.6,19.9,0,0,1
Steve Novak,27.0,2.3,0.443,6.1,0.461,2.1,0.931,4.2,1.0,0.5,0.1,1.1,2.0,12.4,0,1,0
Ben Simmons,34.9,11.6,0.561,0.1,0.333,9.0,0.67,11.8,4.8,2.0,0.8,3.4,2.8,19.2,1,0,1
Derrick Favors,27.5,8.1,0.613,0.0,0.0,4.0,0.629,8.4,1.0,0.9,2.1,2.5,2.6,12.4,0,1,0
Jodie Meeks,27.7,5.2,0.491,5.7,0.386,4.1,0.89,3.0,1.6,1.1,0.1,1.8,1.6,15.4,0,0,1
