Name,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,ALLSTAR,YEAR,PK,POS
Tyler Dorsey,75.0,74.0,30.0,4.6,10.0,0.455,2.5,5.1,0.493,2.1,5.0,0.41600000000000004,2.9,3.9,0.732,1.1,2.8,3.9,1.8,0.8,0.1,1.7,1.8,14.1,8.51,No,2017,41,Guard
John Henson,109.0,82.0,23.8,4.4,8.8,0.49700000000000005,4.3,8.5,0.505,0.0,0.2,0.20800000000000002,1.6,3.2,0.484,2.5,5.7,8.1,1.0,0.6,2.5,1.5,1.5,10.3,9.01,No,2012,14,Center
Erick Green,129.0,89.0,28.3,4.6,10.5,0.43700000000000006,3.5,7.3,0.48,1.1,3.2,0.33799999999999997,3.2,4.0,0.804,0.5,2.1,2.6,2.5,1.2,0.2,1.4,1.6,13.5,5.97,No,2013,46,Guard
Gordon Hayward,69.0,69.0,33.1,4.3,9.2,0.47,2.6,4.6,0.569,1.7,4.6,0.369,4.1,4.9,0.8240000000000001,1.7,5.7,7.4,1.8,1.3,0.9,2.0,2.1,14.4,3.57,Yes,2010,9,Forward
Lester Hudson,65.0,64.0,36.5,9.3,20.4,0.456,5.8,10.8,0.53,3.5,9.5,0.37200000000000005,4.4,5.2,0.858,2.2,5.7,7.9,4.4,2.6,0.6,3.6,2.7,26.6,-5.64,No,2009,58,Guard
Daequan Cook,39.0,1.0,19.7,3.6,8.1,0.445,2.2,4.8,0.465,1.4,3.3,0.415,1.2,1.7,0.6970000000000001,0.7,3.6,4.3,1.0,0.7,0.3,1.4,1.7,9.8,9.03,No,2007,21,Guard
Domantas Sabonis,74.0,32.0,26.6,5.2,8.2,0.632,5.1,8.0,0.638,0.1,0.2,0.35700000000000004,3.1,4.2,0.7290000000000001,2.6,6.8,9.4,1.3,0.5,0.6,2.0,3.0,13.5,4.67,No,2016,11,Forward
Solomon Hill,139.0,129.0,29.0,3.5,7.3,0.48100000000000004,2.7,5.1,0.528,0.8,2.2,0.375,2.5,3.3,0.745,1.8,3.8,5.6,2.2,0.9,0.4,2.1,2.4,10.3,7.05,No,2013,23,Forward
Jerian Grant,119.0,117.0,36.4,4.7,10.7,0.436,3.2,6.4,0.498,1.5,4.4,0.345,3.8,4.8,0.79,0.4,2.5,2.9,5.8,1.5,0.3,2.2,1.8,14.6,6.88,No,2015,19,Guard
Paul Millsap,92.0,91.0,35.2,7.2,12.4,0.5770000000000001,7.1,12.2,0.58,0.1,0.2,0.375,4.2,6.8,0.62,5.5,7.3,12.7,0.9,1.3,2.0,2.4,3.1,18.6,2.11,Yes,2006,47,Forward
Jerome Robinson,113.0,68.0,25.1,2.7,6.2,0.44,1.9,3.9,0.47700000000000004,0.8,2.3,0.375,2.1,2.8,0.741,0.6,3.6,3.2,1.8,0.8,0.6,1.5,1.8,8.4,3.22,No,2018,13,Guard
